id,evidence_class,topic,source,date,key_finding,operationalization,affected_skills,url
R85,A,Requirements engineering,ISO/IEC/IEEE 29148:2018 — Requirements engineering,2018,"Good requirements are derived from stakeholder needs and operational concepts, are traceable and verifiable, and include interfaces, constraints, and quality attributes.","Create operational concepts, mission threads, requirement quality checks, bidirectional traceability, verification methods, and controlled baselines.",requirements-systems-engineering; agent-product-discovery; concept-feasibility-validation,https://www.iso.org/standard/72089.html
R86,A,Product quality models,ISO/IEC 25010:2023 — Product quality model,2023,"Software and ICT product quality is multi-dimensional; functional correctness alone does not establish reliability, security, compatibility, usability, maintainability, or other quality characteristics.",Use explicit quality-attribute scenarios and evidence plans so agent-generated software is not judged only by feature completion or passing unit tests.,requirements-systems-engineering; architecture-delivery-planning; software-construction-quality; production-readiness-sre,https://www.iso.org/standard/78176.html
R87,A,Lifecycle management,ISO/IEC/IEEE 24748-1:2024 — Life cycle management,2024,"Lifecycle management requires selection and tailoring of processes, integrated planning, decision management, configuration control, information management, measurement, and risk management.","Require lifecycle tailoring, decision records, baselines, evidence ownership, measurements, and change triggers across all plugin lifecycle skills.",agentic-product-lifecycle; architecture-delivery-planning; maintenance-retirement-engineering,https://www.iso.org/standard/84709.html
R88,B,Quality attributes,Software Engineering Institute — Quality Attribute Workshop Collection,2026-07-22 accessed,"Stakeholder-driven quality-attribute scenarios make vague nonfunctional concerns concrete through stimulus, environment, artifact, response, and response measure.","Require measurable quality-attribute scenarios before architecture commitments and use them as construction, test, and production evidence targets.",requirements-systems-engineering; architecture-delivery-planning; production-readiness-sre,https://www.sei.cmu.edu/library/quality-attribute-workshop-collection/
R89,B,Architecture evaluation,Software Engineering Institute — Architecture Tradeoff Analysis Method,2026-07-22 accessed,"Architecture evaluation should expose quality-attribute tradeoffs, sensitivity points, risks, non-risks, and assumptions before costs are locked in.","Use explicit tradeoff analysis and risk themes to prioritize thin slices, spikes, and evidence rather than selecting architecture by fashion or agent preference.",architecture-delivery-planning; concept-feasibility-validation; agentic-engineering,https://www.sei.cmu.edu/library/atam-method-for-architecture-evaluation/
R90,A,Product discovery,GOV.UK Service Manual — How the discovery phase works,2026-07-22 accessed,"Discovery is for understanding the problem, users, constraints, current journeys, risks, and whether a service should proceed—not for prematurely building the solution.","Require representative research, current-state evidence, problem framing, assumptions, constraints, and a go/stop recommendation before deeper implementation.",agent-product-discovery; agentic-product-lifecycle; concept-feasibility-validation,https://www.gov.uk/service-manual/agile-delivery/how-the-discovery-phase-works
R91,A,Incremental delivery,GOV.UK Service Manual — How the beta phase works,2026-07-22 accessed,"Beta builds and improves a working service in small releases, learns from real users, manages operational readiness, and addresses accessibility, security, performance, and support needs.","Use thin vertical slices, controlled real-use exposure, progressive delivery, operational readiness, and recurring evidence reviews before broader release.",concept-feasibility-validation; architecture-delivery-planning; software-construction-quality; secure-delivery-release,https://www.gov.uk/service-manual/agile-delivery/how-the-beta-phase-works
R92,A,Service retirement,GOV.UK Service Manual — Retiring your service,2026-07-22 accessed,"Service retirement requires user communication, migration or alternatives, data and dependency handling, support planning, and evidence that critical journeys remain protected.","Treat retirement as an engineered lifecycle phase with owner, inventory, communication, migration, rollback, evidence retention, and post-close verification.",maintenance-retirement-engineering; agentic-product-lifecycle,https://www.gov.uk/service-manual/technology/retiring-your-service
R93,B,Human-AI product design,Microsoft — Guidelines for Human-AI Interaction,2026-07-22 accessed,"Human-AI systems should set expectations, support efficient invocation, make uncertainty and limits legible, allow correction and dismissal, learn cautiously, and support global controls.","Include expectation, intervention, override, recovery, feedback, and control behavior in discovery, concept, field-learning, and production-readiness evidence.",agent-product-discovery; concept-feasibility-validation; authentic-use-engineering; production-readiness-sre,https://www.microsoft.com/en-us/haxtoolkit/ai-guidelines/
R94,B,Human-centered AI,Google PAIR — People + AI Guidebook,2026-07-22 accessed,"Human-centered AI development connects user needs, data and model capabilities, mental models, explainability, feedback, control, errors, and graceful failure throughout product design.","Use human-work evidence, calibrated expectations, controllability, recovery, and qualitative research as product requirements rather than post-build polish.",agent-product-discovery; concept-feasibility-validation; requirements-systems-engineering; authentic-use-engineering,https://pair.withgoogle.com/guidebook/
R95,A,Secure software development,NIST SP 800-218 — Secure Software Development Framework 1.1,2022-02,"Secure development integrates preparation, protection of software, production of well-secured software, and vulnerability response into the development lifecycle.","Require threat/risk work, protected build environments, review and testing, provenance, vulnerability handling, and evidence before release.",secure-delivery-release; software-construction-quality; maintenance-retirement-engineering,https://csrc.nist.gov/pubs/sp/800/218/final
R96,A,Secure software development,NIST SP 800-218 Rev. 1 — SSDF 1.2 Initial Public Draft,2025-12-17 IPD,"The draft proposes updated secure-development practices but is not final; SSDF 1.1 remains the controlling final guidance.","Use this single provisional entry only as gap input, label draft-derived changes, and review when NIST publishes a final revision.",secure-delivery-release; maintenance-retirement-engineering,https://csrc.nist.gov/pubs/sp/800/218/r1/ipd
R97,A,AI secure development,NIST SP 800-218A — Secure Software Development Practices for Generative AI and Dual-Use Foundation Models,2024-07,"AI software development adds model, data, provenance, evaluation, misuse, supply-chain, and deployment risks that should be integrated into secure development practices.","Extend threat models and release evidence to prompts, models, tools, datasets, evaluations, agent permissions, and model/provider changes.",secure-delivery-release; agent-security-governance; authentic-use-engineering,https://csrc.nist.gov/pubs/sp/800/218/a/final
R98,A,Supply-chain provenance,SLSA v1.2 specification,2025-11-24 approved,"SLSA v1.2 defines Source and Build tracks for source and artifact provenance and integrity; that provenance does not establish behavioral correctness.","Bind exact source, build, and package identity where claimed, protect release credentials, and limit conclusions to provenance and integrity rather than routing or product value.",secure-delivery-release; software-construction-quality; agent-first-software-engineering,https://slsa.dev/spec/v1.2/
R99,A,Software bill of materials,CycloneDX 1.7 specification,2025-10,"CycloneDX provides machine-readable BOM models for components, services, dependencies, vulnerabilities, attestations, and other supply-chain information.",Generate and validate an SBOM or equivalent inventory for release where appropriate and link it to artifact provenance and vulnerability policy.,secure-delivery-release; maintenance-retirement-engineering,https://cyclonedx.org/specification/overview/
R100,A,Secure by design,CISA — Secure by Design,2026-07-22 accessed,"Software manufacturers should make secure outcomes the default, reduce customer security burden, treat security as a core product requirement, and improve transparency and accountability.","Make secure defaults, least privilege, safe failure, product-level security outcomes, and ownership explicit from discovery through maintenance.",agent-product-discovery; requirements-systems-engineering; secure-delivery-release; maintenance-retirement-engineering,https://www.cisa.gov/securebydesign
R101,A,Software bill of materials,CISA — Software Bill of Materials resources,2026-07-22 accessed,"An SBOM is a formal component inventory that supports vulnerability identification, risk assessment, transparency, and coordinated response across the software lifecycle.","Require release and maintenance processes to retain component inventory, ownership, update policy, and linkages to vulnerability response and retirement.",secure-delivery-release; maintenance-retirement-engineering,https://www.cisa.gov/topics/information-communications-technology-supply-chain-security/sbom
R102,A,Production readiness,Google SRE — Evolving SRE Engagement Model / Production Readiness Review,2026-07-22 accessed,"A production readiness review examines architecture, dependencies, capacity, failure modes, monitoring, alerts, runbooks, rollout, and operational ownership before service handoff or launch.","Require a production-readiness evidence package with owners, SLOs, capacity, dependencies, failure/recovery tests, observability, runbooks, rollout, and rollback.",production-readiness-sre; secure-delivery-release; architecture-delivery-planning,https://sre.google/sre-book/evolving-sre-engagement-model/
R103,A,Reliability economics,Google SRE — Embracing Risk,2026-07-22 accessed,"Service-level objectives and error budgets translate reliability into an explicit risk and investment decision, balancing reliability work against product velocity.","Define SLIs/SLOs and an error-budget policy with release, escalation, experimentation, and remediation consequences rather than treating reliability as a slogan.",production-readiness-sre; continuous-product-experimentation; maintenance-retirement-engineering,https://sre.google/sre-book/embracing-risk/
R104,A,Incident management,Google SRE — Managing Incidents,2026-07-22 accessed,"Effective incident response uses clear command roles, communication, operational coordination, escalation, and disciplined recovery under pressure.","Require incident roles, severity, escalation, containment, communication, evidence capture, and recovery/reconciliation procedures for consequential agent systems.",production-readiness-sre; agent-security-governance; maintenance-retirement-engineering,https://sre.google/sre-book/managing-incidents/
R105,A,Incident learning,Google SRE — Postmortem Culture,2026-07-22 accessed,"Blameless postmortems focus on contributing system conditions, impact, timeline, detection, response, and owned corrective actions to prevent recurrence.","Turn incidents and field failures into mechanism-based learning records, owned corrections, regression evidence, and follow-through checks rather than anecdotes or blame.",production-readiness-sre; authentic-use-engineering; maintenance-retirement-engineering,https://sre.google/sre-book/postmortem-culture/
R106,A,Launch engineering,Google SRE — Reliable Product Launches at Scale,2026-07-22 accessed,"Reliable launches depend on repeatable launch reviews, explicit risk criteria, capacity and dependency checks, monitoring, rollback, and organizational learning from prior launches.","Use a launch evidence package and progressive rollout contract, not calendar pressure or code completion, as the basis for production exposure.",secure-delivery-release; production-readiness-sre; architecture-delivery-planning,https://sre.google/sre-book/reliable-product-launches/
R107,A,Progressive delivery,Google SRE Workbook — Canarying Releases,2026-07-22 accessed,"Canarying limits exposure while comparing a new version with a baseline and requires representative traffic, useful metrics, enough observation time, and automated or explicit rollback criteria.","Define cohorts, exposure steps, guardrails, analysis windows, hold/advance/revert rules, and effect containment for agent releases.",secure-delivery-release; continuous-product-experimentation; production-readiness-sre,https://sre.google/workbook/canarying-releases/
R108,A,Release engineering,Google SRE — Release Engineering,2026-07-22 accessed,"Reliable releases are reproducible, automated, self-service where safe, auditable, and built from well-defined source and build inputs.","Require deterministic release pipelines, artifact provenance, controlled permissions, repeatable rollback, and release evidence independent of a developer session.",secure-delivery-release; software-construction-quality,https://sre.google/sre-book/release-engineering/
R109,A,Reliability testing,Google SRE — Testing for Reliability,2026-07-22 accessed,"Reliability requires layered tests including unit, integration, system, load, configuration, and failure-oriented testing; no single test class establishes production readiness.","Build a verification ladder aligned to quality attributes, dependencies, failure modes, rollout, and exact artifacts; record skipped or unavailable evidence honestly.",software-construction-quality; production-readiness-sre; rust-agent-verification,https://sre.google/sre-book/testing-reliability/
R110,A,Delivery performance,DORA — DORA metrics,2026-07-22 accessed,"Software delivery performance should be understood with a balanced set of throughput and stability measures, interpreted in context rather than optimized as isolated targets.","Track delivery flow and stability as diagnostics, avoid ranking teams or gaming a composite score, and connect measures to product outcomes and learning speed.",agentic-product-lifecycle; architecture-delivery-planning; software-construction-quality; production-readiness-sre,https://dora.dev/guides/dora-metrics/
R111,B,AI-assisted software development,Google Cloud — 2025 DORA Report: AI-Assisted Software Development,2025-09-23,"AI assistance can amplify both strengths and weaknesses of a software delivery system; organizational capabilities, feedback quality, platform engineering, and control practices shape outcomes.","Treat agent use as a sociotechnical change, measure downstream flow and stability, and invest in repository, platform, evaluation, and feedback infrastructure rather than model access alone.",agentic-product-lifecycle; agent-first-software-engineering; software-construction-quality,https://cloud.google.com/resources/content/2025-dora-ai-assisted-software-development-report
R112,A,Safe deployment,Microsoft Azure Well-Architected Framework — Safe deployment practices,2026-07-22 accessed,"Safe deployment reduces blast radius through progressive exposure, health evaluation, bake time, rollback, separation of concerns, and deployment controls.","Require ringed rollout, stop/rollback criteria, health and business guardrails, ownership, and recovery evidence; do not confuse a feature flag with authorization.",secure-delivery-release; production-readiness-sre; continuous-product-experimentation,https://learn.microsoft.com/en-us/azure/well-architected/operational-excellence/safe-deployments
R113,A,Progressive delivery,Argo Rollouts documentation,2026-07-22 accessed,"Argo Rollouts supports canary and blue-green strategies, analysis runs, pauses, promotion, and rollback for Kubernetes workloads.",Treat rollout controllers as execution mechanisms under a predeclared evidence and authorization contract; keep product decisions outside controller defaults.,secure-delivery-release; production-readiness-sre,https://argo-rollouts.readthedocs.io/en/stable/
R114,A,Progressive delivery,Flagger documentation,2026-07-22 accessed,"Flagger automates progressive delivery using service-mesh or ingress traffic shifting, metrics, analysis, promotion, and rollback.","Use automated rollout only with trustworthy metrics, minimum exposure, explicit failure handling, and independent authorization for consequential effects.",secure-delivery-release; continuous-product-experimentation,https://docs.flagger.app/
R115,A,Feature evaluation context,OpenFeature — Evaluation Context specification,2026-07-22 accessed,Evaluation context carries targeting information through a feature-evaluation transaction and has defined merge precedence and lifecycle semantics.,"Version rollout context, distinguish assignment from exposure, propagate stable non-sensitive identifiers, and record evaluated variant and reason with field evidence.",continuous-product-experimentation; secure-delivery-release; rust-agent-observability,https://openfeature.dev/specification/sections/evaluation-context/
R116,A,Feature flag privacy,OpenFeature — Evaluation Context concepts,2026-07-22 accessed,"Targeting context may contain sensitive information and should be minimized, protected, and handled consistently across providers and hooks.","Ban raw sensitive content from default rollout context, use allowlists and pseudonymous stable IDs, and document retention and access policy.",continuous-product-experimentation; rust-agent-observability; agent-security-governance,https://openfeature.dev/docs/reference/concepts/evaluation-context/
R117,A,Rust feature evaluation,OpenFeature Rust SDK,2026-07-22 accessed,"The Rust SDK provides a vendor-neutral feature-flag API with evaluation context, providers, hooks, and typed evaluation details.","Keep feature evaluation behind a Rust adapter, propagate context explicitly, expose reason/error details to telemetry, and do not treat flags as permission checks.",rust-agent-observability; secure-delivery-release; continuous-product-experimentation,https://openfeature.dev/docs/reference/sdks/server/rust/
R118,A,Rust instrumentation,tracing crate documentation,2026-07-22 accessed,"Rust tracing models structured, contextual diagnostics as spans and events, supporting async-aware instrumentation and subscriber-based collection.","Instrument run/action/tool/effect/approval/recovery boundaries with stable domain IDs, propagate spans through owned tasks, and keep event fields structured.",rust-agent-observability; rust-agent-runtime,https://docs.rs/tracing/latest/tracing/
R119,A,Rust observability,OpenTelemetry Rust documentation,2026-07-22 accessed,"OpenTelemetry Rust provides APIs and SDKs for traces, metrics, logs, context propagation, and export through vendor-neutral telemetry pipelines.","Use OTel at system boundaries, bridge tracing context intentionally, test propagation and shutdown/flush behavior, and preserve domain semantics independently of a backend.",rust-agent-observability; rust-agent-runtime; production-readiness-sre,https://opentelemetry.io/docs/languages/rust/
R120,A,Observability,OpenTelemetry — Observability primer,2026-07-22 accessed,"Observability is the ability to understand internal system state from outputs; instrumentation emits traces, metrics, and logs that serve different but complementary diagnostic purposes.","Design telemetry from decisions and failure mechanisms backward, with joinable signals and explicit diagnostic questions rather than indiscriminate logging.",rust-agent-observability; production-readiness-sre; authentic-use-engineering,https://opentelemetry.io/docs/concepts/observability-primer/
R121,A,Telemetry privacy,OpenTelemetry — Handling sensitive data,2026-01-14,"Telemetry can capture personal, credential, financial, health, or behavioral data; implementers own minimization, consent, protection, redaction, and review.","Apply allowlists, privacy classifications, redaction, bounded retention, access controls, and sampling policies; do not record raw prompts or tool payloads by default.",rust-agent-observability; authentic-use-engineering; agent-security-governance,https://opentelemetry.io/docs/security/handling-sensitive-data/
R122,A,Generative-AI telemetry,OpenTelemetry GenAI semantic conventions 1.43.0,1.43.0; reviewed 2026-08-08,"GenAI semantic conventions provide versioned model, agent, and tool telemetry fields; experimental fields and compatibility surfaces remain version-sensitive and carry privacy implications.","Adopt stable fields selectively, namespace and version product mappings, avoid raw sensitive payloads by default, and keep domain evidence independent of OTel.",rust-agent-observability; agent-evals-observability; authentic-use-engineering,https://opentelemetry.io/docs/specs/semconv/gen-ai/
R123,A,Distributed tracing,W3C Trace Context Recommendation,2021-11-23,Trace Context standardizes propagation of trace identifiers and flags across process and service boundaries while defining interoperability and privacy considerations.,"Propagate W3C context across agent services and tools, but keep trace identity separate from authorization and from durable business/effect identity.",rust-agent-observability; harness-engineering; production-readiness-sre,https://www.w3.org/TR/trace-context/
R124,A,Agent security,OWASP — AI Agent Security Cheat Sheet,2026-07-22 accessed,"Agent systems face prompt injection, excessive agency, tool abuse, memory poisoning, data leakage, unsafe output handling, and denial-of-service risks that require layered controls.","Carry security constraints into authentic-use operating envelopes, tool contracts, telemetry, approvals, effect integrity, incident response, and release gates.",agent-security-governance; authentic-use-engineering; secure-delivery-release; production-readiness-sre,https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html
R125,A,Agentic risk taxonomy,OWASP — Top 10 for Agentic Applications 2026,2026,"Agentic applications introduce risks around goals, identity and privilege, tool use, memory and context, inter-agent trust, cascading failures, and insufficient monitoring or governance.","Use the taxonomy as threat-model prompts and coverage checks, not a substitute for system-specific assets, trust boundaries, misuse cases, and effect analysis.",agent-security-governance; secure-delivery-release; authentic-use-engineering; agentic-product-lifecycle,https://genai.owasp.org/resource/owasp-top-10-for-agentic-applications-for-2026/
R126,A,Codex skills,OpenAI — Build skills,2026-07-22,Skills use progressive disclosure; the initial list is bounded and descriptions drive implicit activation.,"Compress descriptions, retain one host-owned implicit front door, and add context-budget and routing gates.",agentic-engineering; agent-evals-observability,https://developers.openai.com/codex/skills
R127,A,Skill evaluation,OpenAI — Testing Agent Skills Systematically with Evals,2026-07-22,"Skill evals should cover explicit, implicit, contextual, and negative cases with trace, artifact, outcome, and efficiency checks.","Add baseline, routing, JSONL trace, artifact, negative-control, and efficiency evaluation contracts.",agent-evals-observability; engineering-learning-loop,https://developers.openai.com/blog/eval-skills
R128,A,GPT-5.6 prompting and orchestration,OpenAI — GPT-5.6 model guidance,2026-07-22,"Leaner prompts and relevant tools can improve quality and efficiency; Pro, Programmatic Tool Calling, reasoning, and multi-agent should be selected by measured task shape.",Use one lean outcome contract and move variation into configuration and representative evals.,agentic-engineering; codex-task-contract; harness-engineering; multi-agent-engineering,https://developers.openai.com/api/docs/guides/latest-model
R129,A,Compound engineering,EveryInc — compound-engineering-plugin,2026-07-22,"The project operationalizes brainstorm-plan-work-simplify-review-compound, product pulse, resumable dogfood, and risk-selected review.","Adopt bounded compounding, field pulse, journey review, and structured review without creating a second authority.",engineering-learning-loop; product-fitness-engineering; software-construction-quality,https://github.com/EveryInc/compound-engineering-plugin
R130,A,Agent development discipline,obra — Superpowers,2026-07-02,"The project operationalizes causal debugging, test-first practice, fresh scoped workers, review, fresh verification, and behavior-tested skills.","Adopt skill behavior evals, causal repair, fresh evidence packets, and verification gates while rejecting universal ceremony.",agent-evals-observability; verification-strategy-engineering; multi-agent-engineering,https://github.com/obra/superpowers
R131,B,AI-assisted delivery,DORA — User-centric focus,2026-01-12,AI amplifies both strong user focus and feature-factory dysfunction; outcome evidence must remain visible.,"Add Product Fitness evidence, representative journeys, and user-value measures.",product-fitness-engineering; agentic-product-lifecycle,https://dora.dev/capabilities/user-centric-focus/
R132,B,AI-assisted delivery,DORA — Working in small batches,2025-12-01,Small batches accelerate feedback and amplify positive AI effects on product performance.,Use risk-retiring slices and proportional assurance rather than large autonomous batches.,architecture-delivery-planning; software-construction-quality,https://dora.dev/capabilities/working-in-small-batches/
R133,B,AI-accessible evidence,DORA — AI-accessible internal data,2026-01-12,"Secure access to code, documentation, and operational evidence multiplies individual effectiveness and code quality.",Make repository and operational evidence directly legible through bounded context packets.,context-repository-engineering; harness-engineering,https://dora.dev/capabilities/ai-accessible-internal-data/
R134,B,Supervisory engineering,DORA — Balancing AI tensions,2026-03-10,Creation time saved by AI is often reallocated to auditing and verification; throughput can rise with instability.,"Measure supervisory work and verification burden, not generated output alone.",product-fitness-engineering; software-construction-quality,https://dora.dev/insights/balancing-ai-tensions/
R135,C,Agent abstention,Coding Agents Don’t Know When to Act,2026-05-08,Agents make undesirable changes on many already-fixed tasks; framing inaction as success improves the design target but partial fixes complicate abstention.,Add first-class no-change and partial-change decisions with reproduction evidence.,verification-strategy-engineering; software-construction-quality; agentic-engineering,https://arxiv.org/abs/2605.07769
R136,C,Repair loops,Is Three the Magic Number?,2026-07-06,Most repair-loop gains occur in the first three to four iterations; orchestration and feedback strongly influence repair behavior.,Require explicit empirically calibrated budgets and circuit breakers.,loop-engineering; harness-engineering,https://arxiv.org/abs/2607.05197
R137,C,Repair feedback,Structured Feedback Improves Repair in an LLM Agent Loop,2026-07-15,"Feedback with failure location, observed value, and admissible alternatives markedly improved terminal success in the studied loops.",Standardize structured validator-to-repair feedback.,loop-engineering; harness-engineering,https://arxiv.org/abs/2607.14167
R138,C,Harness repair,From Failed Trajectories to Reliable LLM Agents,2026-06-04,Trace normalization and layer-aware attribution enabled scoped harness repairs with held-out improvements.,Add responsible-layer attribution and held-out harness repair validation.,harness-engineering; engineering-learning-loop,https://arxiv.org/abs/2606.06324
R139,C,Regression-aware coding agents,TDAD: Test-Driven Agentic Development,2026-03-18,Test-impact context reduced regressions while procedural TDD prompting alone increased them in the studied setup.,Choose verification modes by oracle and surface relevant tests rather than prescribing ritual.,verification-strategy-engineering; software-construction-quality,https://arxiv.org/abs/2603.17973
R140,C,Behavioral agent specifications,Test-Driven AI Agent Definition,2026-03-09,"Visible/hidden splits, semantic mutation, and specification evolution expose prompt and policy regressions.","Add held-out, mutation, and evolution skill evals.",agent-evals-observability; engineering-learning-loop,https://arxiv.org/abs/2603.08806
R141,C,Browser acceptance testing,From Runnable to Shippable,2026-05-17,"Browser acceptance-test infrastructure improved generated web-app quality, while mismatched enforcement protocols multiplied cost without benefit.",Use journey/browser evidence and select enforcement protocol by model and task behavior.,verification-strategy-engineering; product-fitness-engineering,https://arxiv.org/abs/2605.17242
R142,C,Agent-generated tests,Are Coding Agents Generating Over-Mocked Tests?,2026-01-30,"Agent commits were more likely to add mocks, raising concern that tests may validate mocks instead of real interactions.",Require explicit mock policy and representative boundary evidence.,verification-strategy-engineering; software-construction-quality,https://arxiv.org/abs/2602.00409
R143,C,Context engineering,Coding Agents are Effective Long-Context Processors,2026-03-20,Coding agents can use file systems and executable tools to organize and process very large contexts effectively.,"Use file-based handoffs, bounded maps, and executable retrieval rather than transcript stuffing.",context-repository-engineering; multi-agent-engineering,https://arxiv.org/abs/2603.20432
R144,C,Developer experience,The Impact of AI Coding Assistants on Software Engineering,2026-05-22,Work shifts toward supervisory engineering; perceived productivity can coexist with worsening flow and cognitive load.,"Measure intervention, review, correction, cognitive load, and retained ownership.",product-fitness-engineering; agentic-product-lifecycle,https://arxiv.org/abs/2605.23135
R145,B,Human-agent collaboration,Google Research — From Correctness to Collaboration,2026-04-01,"Professional expectations include standards/process, quality/reliability, effective problem solving, and collaboration—not correctness alone.",Evaluate collaborative and authority behavior separately from code correctness.,agent-evals-observability; product-fitness-engineering,https://research.google/pubs/from-correctness-to-collaboration-a-human-centered-taxonomy-of-ai-agent-behavior-in-software-engineering/
R146,C,AI programming productivity,Meta-analysis of generative AI on productivity and learning,2026-05-06,Productivity effects are positive but heterogeneous and smaller in enterprise/open-source contexts; learning effects were not significant.,Avoid assuming generated throughput equals system value or retained expertise.,product-fitness-engineering; agentic-product-lifecycle,https://arxiv.org/abs/2605.04779
R147,A,Agent standards,NIST — AI Agent Standards Initiative,2026-02-17,"The initiative identifies identity, authorization, interoperability, and security as standardization priorities; it does not yet define final normative requirements.","Use as roadmap evidence, preserve explicit identity and authority boundaries, and do not claim conformance or create mandatory law IDs.",agent-security-governance; rust-agent-protocols,https://www.nist.gov/artificial-intelligence/ai-agent-standards-initiative
R148,A,Continuous AI security,NIST — Continuous-monitor-and-update security model,2026-06-09,"The communication motivates continuous monitoring, updates, and resilience as a research direction; it is not a final prescriptive standard.","Use as a hypothesis for risk-proportionate monitoring and recovery, not as authority for universal infrastructure or conformance claims.",agent-security-governance; production-readiness-sre,https://www.nist.gov/news-events/news/2026/06/nist-mathematical-proof-supports-transition-continuous-monitor-and-update
R149,A,Agent measurement,NIST — Building Measurement Probes into Agentic AI Ecosystems,2026-04-07,"The webinar presents measurement probes and dynamic verifiers as an emerging approach to agent traceability, not a validated normative method.",Treat probes as an evaluation hypothesis and require local endpoint evidence before adopting them as a consequential control.,agent-evals-observability; harness-engineering,https://www.nist.gov/news-events/events/2026/04/nist-information-technology-laboratory-ai-webinar-series-building
R150,A,Agent identity,NIST NCCoE — Identity and Authorization of Software and AI Agents concept paper,2026-02-05 draft concept,"The concept paper identifies explicit identity and authorization as an important agent-access problem and solicits input; it is not final guidance.","Preserve explicit principal, target, permission, and effect identity, but do not claim NIST conformance from the draft.",agent-security-governance; multi-agent-engineering,https://csrc.nist.gov/pubs/other/2026/02/05/accelerating-the-adoption-of-software-and-ai-agent/ipd
R151,A,Secure lifecycle historical duplicate,Historical duplicate of R96 — NIST SSDF 1.2 Initial Public Draft,2025-12-17,"This historical row duplicates the SSDF 1.2 draft represented provisionally by R96; it creates no second current source or controlling requirement.",Use R96 and current foundation F-SSDF-12-DRAFT for provisional draft status; SSDF 1.1 remains final controlling guidance.,secure-delivery-release; agentic-product-lifecycle,https://csrc.nist.gov/pubs/sp/800/218/r1/ipd
